name,index
DCAF5,593
ZN840,594
TM52B,595
ARFG2,596
ZN596,597
SHLB2,598
PSMF1,599
HNRPQ,600
SYCC,601
IDUA,602
SYQ,603
UN13D,604
CCD70,605
PRRT4,606
CC124,607
DREB,608
PTH2R,609
SAM14,610
F162A,611
ZN425,612
PDE4A,613
TOM22,614
DX39B,615
NUDT5,616
CABP7,617
S29P2,618
CSN3,619
NOL10,620
MTMR6,621
RLA1,622
APC7,623
PFD6,624
NBEA,625
NCOA5,626
ACADS,627
BRCA1,628
HARB1,629
CD019,630
MATR3,631
IQGA1,632
PRS8,633
CLD10,634
CX7A2,635
NUDC2,636
P3C2B,637
ARPC5,638
GPCP1,639
AUHM,640
TRRAP,641
TCR.Y.D,642
S6,643
LTOR5,644
KRR1,645
TCPR1,646
WBP1,647
FGD6,648
BTF3,649
HPLN1,650
PFD4,651
ZC11A,652
WDR82,653
CD215,654
RLA0,655
TBX2,656
DDX56,657
INSL3,658
ZNT3,659
SERP3,660
METK2,661
CTBL1,662
POF1B,663
GRAP2,664
PLAK,665
PESC,666
HMMR,667
CB078,668
CRBG3,669
OSGEP,670
CD108,671
H1X,672
CD352,673
RPGF5,674
5MP2,675
TFAP4,676
ZN519,677
CD45RB,678
ZN608,679
TENS1,680
EIF3E,681
IFNA2,682
PRA33,683
CF20D,684
ATP5J,685
LRRF1,686
UBX2A,687
UQCC2,688
CA159,689
MUCL3,690
AKTS1,691
RAB8B,692
PLPL2,693
VSXL2,694
ABCAC,695
DYST,696
RNFT2,697
UTP4,698
HXC10,699
CFA74,700
CPIN1,701
RASN,702
FBSL,703
PRP8,704
CD182,705
DNJC2,706
TCR.VA7,707
SH3B4,708
RS8,709
NDKA,710
ESPNL,711
MEG10,712
SNX29,713
RPB9,714
UT14A,715
UBF1,716
FKBP5,717
EPAS1,718
SYSC,719
AOL,720
ZN471,721
PLOD2,722
KHDR1,723
HERC3,724
CPT2,725
TM1L1,726
KIRS.PE,727
MMP25,728
TM104,729
CD4,730
DDX41,731
MED17,732
ACL6A,733
CD165,734
DHB13,735
ZCH18,736
MAGB1,737
PR40B,738
CCDC6,739
UBP44,740
PLD2,741
SCG2,742
ETAA1,743
CDV3,744
RBGPR,745
CD5,746
PINX1,747
TSN13,748
ARRS,749
VN1R5,750
M4K4,751
DENR,752
RPN1,753
OR6K6,754
PAIP1,755
UBP48,756
ERP44,757
CCG6,758
UGDH,759
GL1AD,760
KINH,761
TGO1,762
CYB5B,763
RGS5,764
ENSA,765
H90B4,766
MYH6,767
UROK,768
RRP5,769
KANL1,770
CHSP1,771
MYO3B,772
DBNL,773
KALM,774
MAGB3,775
SPTB1,776
API5,777
CD207,778
CPPED,779
TBCE,780
CLC2B,781
CX6B1,782
FBRL,783
PSME1,784
AGRB1,785
OR1L1,786
HYDIN,787
TRPC1,788
EFNA1,789
CEP55,790
RTCA,791
BCL9L,792
ARP2,793
ODP2,794
COX41,795
CH086,796
GCDH,797
ZN582,798
TCF7,799
CCD89,800
PRTN3,801
CCD86,802
PBDC1,803
BLM,804
RSLBB,805
CFAI,806
ULK1,807
IGSF1,808
SMC1A,809
SHOC2,810
DJC11,811
POP7,812
HSDL2,813
SUV3,814
UGPA,815
PEBP1,816
SUMO2,817
RM17,818
ACLY,819
CTND2,820
ICAM5,821
NONO,822
LARP4,823
EWS,824
MED1,825
MCR,826
TCR.1,827
DNJC4,828
SRRM2,829
CD381,830
DDX21,831
CD274,832
RT09,833
GOLI4,834
ZC12C,835
NPSR1,836
TLK2,837
ZNF41,838
PNPH,839
PLPP7,840
GDIR2,841
LIMA1,842
HAOX2,843
GBRA1,844
ADAS,845
CNN1,846
CPSF2,847
ATLA3,848
ERIC1,849
PYGL,850
PELO,851
SMC2,852
CD3,853
TF65,854
AR13B,855
